Start,End,Response Level,Duration (h)
2023-02-18 12:20:00,2025-06-01 00:00:00,4,20003.666666666668
2023-05-03 17:10:00,2023-09-27 15:30:00,5,3526.3333333333335
2023-09-27 15:50:00,2023-10-03 01:50:00,5,130.0
2023-10-03 11:00:00,2023-10-04 06:10:00,5,19.166666666666668
2023-10-04 12:00:00,2023-10-04 15:50:00,5,3.8333333333333335
2023-10-04 16:10:00,2023-10-06 14:50:00,5,46.666666666666664
2023-10-06 16:40:00,2023-10-07 14:50:00,5,22.166666666666668
2023-10-07 15:40:00,2023-10-09 14:40:00,5,47.0
2023-10-20 03:30:00,2023-10-22 08:20:00,5,52.833333333333336
2023-10-23 16:40:00,2023-11-08 08:50:00,5,376.1666666666667
2023-12-01 15:50:00,2023-12-02 23:50:00,5,32.0
2024-03-31 03:30:00,2024-04-04 00:30:00,5,93.0
2024-04-06 17:10:00,2024-04-23 13:40:00,5,404.5
2024-04-29 17:20:00,2024-09-07 16:00:00,5,3142.6666666666665
2024-09-07 17:20:00,2024-09-15 20:20:00,5,195.0
2024-09-23 13:20:00,2024-10-05 09:40:00,5,284.3333333333333
2024-10-07 16:20:00,2024-10-19 11:20:00,5,283.0
2025-01-28 03:10:00,2025-01-29 00:10:00,5,21.0
2025-02-20 13:40:00,2025-02-20 15:20:00,5,1.6666666666666667
2025-02-28 14:20:00,2025-02-28 16:20:00,5,2.0
2025-03-03 10:20:00,2025-03-03 11:10:00,5,0.8333333333333334
2025-03-10 08:50:00,2025-03-10 09:50:00,5,1.0
2025-03-12 15:30:00,2025-03-12 16:50:00,5,1.3333333333333333
2025-03-14 09:50:00,2025-03-14 11:40:00,5,1.8333333333333333
2025-03-14 13:20:00,2025-03-14 16:20:00,5,3.0
2025-03-17 09:40:00,2025-03-17 11:00:00,5,1.3333333333333333
2025-03-18 14:40:00,2025-03-18 16:30:00,5,1.8333333333333333
2025-03-19 08:00:00,2025-03-19 09:00:00,5,1.0
2025-03-20 13:10:00,2025-03-20 15:00:00,5,1.8333333333333333
2025-03-21 07:20:00,2025-03-21 12:00:00,5,4.666666666666667
2025-03-21 13:00:00,2025-03-21 15:00:00,5,2.0
2025-03-24 10:40:00,2025-03-24 11:50:00,5,1.1666666666666667
2025-03-24 13:40:00,2025-03-24 15:00:00,5,1.3333333333333333
2025-03-25 07:30:00,2025-03-25 16:20:00,5,8.833333333333334
2025-03-31 13:10:00,2025-03-31 17:00:00,5,3.8333333333333335
2025-04-01 07:20:00,2025-04-02 00:50:00,5,17.5
2025-04-02 13:20:00,2025-04-02 14:10:00,5,0.8333333333333334
2025-04-04 19:10:00,2025-04-05 01:50:00,5,6.666666666666667
2025-04-12 18:00:00,2025-04-26 14:20:00,5,332.3333333333333
2025-04-26 17:20:00,2025-05-11 08:00:00,5,350.6666666666667
2023-05-03 17:10:00,2023-09-27 15:30:00,6,3526.3333333333335
2023-09-27 15:50:00,2023-09-27 23:20:00,6,7.5
2023-09-27 23:40:00,2023-09-29 23:10:00,6,47.5
2023-09-30 11:10:00,2023-10-02 13:20:00,6,50.166666666666664
2023-10-02 13:40:00,2023-10-03 00:00:00,6,10.333333333333334
2023-10-03 11:40:00,2023-10-04 04:30:00,6,16.833333333333332
2023-10-04 16:10:00,2023-10-06 15:00:00,6,46.833333333333336
2023-10-06 16:40:00,2023-10-07 14:50:00,6,22.166666666666668
2023-10-07 15:40:00,2023-10-09 13:10:00,6,45.5
2023-10-20 18:20:00,2023-10-21 07:10:00,6,12.833333333333334
2023-10-30 20:10:00,2023-11-04 11:00:00,6,110.83333333333333
2023-12-01 23:30:00,2023-12-02 08:40:00,6,9.166666666666666
2024-04-01 14:50:00,2024-04-01 19:10:00,6,4.333333333333333
2024-04-12 17:10:00,2024-04-23 13:40:00,6,260.5
2024-05-05 16:50:00,2024-07-27 15:20:00,6,1990.5
2024-08-07 04:20:00,2024-08-07 07:40:00,6,3.3333333333333335
2024-08-21 11:00:00,2024-08-21 14:10:00,6,3.1666666666666665
2024-08-26 00:00:00,2024-08-26 11:50:00,6,11.833333333333334
2024-09-08 22:50:00,2024-09-09 23:40:00,6,24.833333333333332
2024-09-26 22:40:00,2024-09-28 05:30:00,6,30.833333333333332
2025-03-31 14:20:00,2025-03-31 16:50:00,6,2.5
2025-05-05 00:40:00,2025-05-05 17:40:00,6,17.0
2023-07-13 01:10:00,2023-07-13 15:00:00,7,13.833333333333334
2023-08-16 00:00:00,2023-08-18 15:40:00,7,63.666666666666664
2023-08-27 19:50:00,2023-08-30 04:40:00,7,56.833333333333336
2023-09-05 06:10:00,2023-09-12 22:10:00,7,184.0
2023-09-22 13:30:00,2023-09-23 06:40:00,7,17.166666666666668
2023-09-25 02:00:00,2023-09-27 15:30:00,7,61.5
2023-10-07 15:40:00,2023-10-09 14:40:00,7,47.0
2023-10-20 19:30:00,2023-10-21 02:40:00,7,7.166666666666667
2023-10-30 23:40:00,2023-10-31 15:50:00,7,16.166666666666668
2024-05-10 15:40:00,2024-07-02 23:20:00,7,1279.6666666666667
2024-08-07 04:40:00,2024-08-07 06:30:00,7,1.8333333333333333
2024-08-26 00:50:00,2024-08-26 10:40:00,7,9.833333333333334
2024-09-08 23:40:00,2024-09-09 12:20:00,7,12.666666666666666
2024-09-27 01:20:00,2024-09-27 12:10:00,7,10.833333333333334
2023-08-27 21:10:00,2023-08-29 10:00:00,8,36.833333333333336
